Name,1,2,3,4,5,6,7,8,9,10
Azhar Ali,0,0,0,0,0,32,225,125,36,112
H.M. Amla,0,0,0,0,0,51,156,58,171,105
K.L. Rahul,0,0,0,0,0,0,0,49,61,89
A.K. Markram,0,0,0,0,0,0,17,84,61,85
A.N. Cook,0,0,0,0,0,10,1,26,32,70
L.D. Chandimal,0,0,0,0,0,0,0,119,91,52
A.M. Rahane,0,0,0,0,0,9,0,0,41,46
A.B. de Villiers,0,0,0,0,0,50,14,6,9,45
L.R.P.L. Taylor,0,0,0,0,0,0,0,0,7,42
D. Elgar,0,0,0,0,0,0,60,125,101,36
Q. de Kock,0,0,0,0,0,124,1,16,43,27
U.T. Khawaja,0,0,0,0,0,0,0,0,0,18
F.D.M. Karunaratne,0,0,0,0,0,0,161,0,28,16
J.M. Bairstow,0,0,0,0,0,3,8,0,16,9
D.A. Warner,0,0,0,20,461,128,31,75,40,8
C.A. Pujara,0,18,70,275,9,289,50,0,14,6
K.S. Williamson,0,183,247,325,22,0,0,0,0,0
J.E. Root,0,153,416,107,92,0,0,9,0,0
S.P.D. Smith,589,116,31,41,0,0,0,0,0,0
V. Kohli,188,307,13,18,176,75,0,0,0,0
H.M. Nicholls,0,0,0,0,13,1,35,0,23,0
Younus Khan,0,0,0,0,0,0,18,95,4,0
